date,spread
2019-12-27,0.3559999465942383
2019-12-30,0.4049999713897705
2019-12-31,0.4140000343322754
2020-01-02,0.3869999647140503
2020-01-03,0.31499993801116943
2020-01-06,0.3229999542236328
2020-01-07,0.3270000219345093
2020-01-08,0.38099992275238037
2020-01-09,0.3580000400543213
2020-01-10,0.3270000219345093
2020-01-13,0.3380000591278076
2020-01-14,0.2879999876022339
2020-01-15,0.2799999713897705
2020-01-16,0.29100000858306885
2020-01-17,0.312999963760376
2020-01-21,0.26600003242492676
2020-01-22,0.2560000419616699
2020-01-23,0.2250000238418579
2020-01-24,0.19099998474121094
2020-01-27,0.10000002384185791
2020-01-28,0.11100006103515625
2020-01-29,0.07400000095367432
2020-01-30,0.029999971389770508
2020-01-31,0.009999990463256836
2020-02-03,0.001999974250793457
2020-02-04,0.06500005722045898
2020-02-05,0.12900006771087646
2020-02-06,0.11400008201599121
2020-02-07,0.059999942779541016
2020-02-10,0.027000069618225098
2020-02-11,0.05200004577636719
2020-02-12,0.09500002861022949
2020-02-13,0.07200002670288086
2020-02-14,0.05300009250640869
2020-02-18,0.021000027656555176
2020-02-19,0.027000069618225098
2020-02-20,-0.013000011444091797
2020-02-21,-0.04700005054473877
2020-02-24,-0.1260000467300415
2020-02-25,-0.15999996662139893
2020-02-26,-0.16800010204315186
2020-02-27,-0.09599995613098145
2020-02-28,-0.10300004482269287
2020-03-02,-0.04699993133544922
2020-03-03,0.09200000762939453
2020-03-04,0.31699997186660767
2020-03-05,0.3309999704360962
2020-03-06,0.29099997878074646
2020-03-09,0.16899999976158142
2020-03-10,0.3580000400543213
2020-03-11,0.4519999921321869
2020-03-12,0.5759999752044678
2020-03-13,0.707999974489212
2020-03-16,0.5429999828338623
2020-03-17,0.8319999724626541
2020-03-18,1.2630000323988497
2020-03-19,1.1469999589025974
2020-03-20,0.9710000231862068
2020-03-23,0.8039999976754189
2020-03-24,0.848999984562397
2020-03-25,0.9279999807476997
2020-03-26,0.9159999862313271
2020-03-27,0.8070000112056732
2020-03-30,0.6570000164210796
2020-03-31,0.6680000144988298
2020-04-01,0.5719999894499779
2020-04-02,0.5619999766349792
2020-04-03,0.5290000140666962
2020-04-06,0.6160000003874302
2020-04-07,0.6079999953508377
2020-04-08,0.5789999961853027
2020-04-09,0.5189999788999557
2020-04-13,0.549000009894371
2020-04-14,0.5869999676942825
2020-04-15,0.5230000093579292
2020-04-16,0.49900002777576447
2020-04-17,0.5509999841451645
2020-04-20,0.5559999868273735
2020-04-21,0.4729999825358391
2020-04-22,0.526000015437603
2020-04-23,0.5199999734759331
2020-04-24,0.4960000142455101
2020-04-27,0.5630000159144402
2020-04-28,0.5250000134110451
2020-04-29,0.5369999706745148
2020-04-30,0.5319999754428864
2020-05-01,0.5490000173449516
2020-05-04,0.5470000207424164
2020-05-05,0.5470000058412552
2020-05-06,0.6030000224709511
2020-05-07,0.535999983549118
2020-05-08,0.5869999825954437
2020-05-11,0.6210000142455101
2020-05-12,0.5549999698996544
2020-05-13,0.5339999869465828
2020-05-14,0.5140000209212303
2020-05-15,0.536999985575676
2020-05-18,0.6390000209212303
2020-05-19,0.5930000245571136
2020-05-20,0.5620000064373016
2020-05-21,0.5669999867677689
2020-05-22,0.5470000058412552
2020-05-26,0.5800000131130219
2020-05-27,0.5450000017881393
2020-05-28,0.5669999867677689
2020-05-29,0.5199999958276749
2020-06-01,0.5339999943971634
2020-06-02,0.5350000113248825
2020-06-03,0.6129999756813049
2020-06-04,0.6799999922513962
2020-06-05,0.7589999884366989
2020-06-08,0.7310000061988831
2020-06-09,0.6639999896287918
2020-06-10,0.5830000191926956
2020-06-11,0.5
2020-06-12,0.5489999949932098
2020-06-15,0.5470000207424164
2020-06-16,0.5959999859333038
2020-06-17,0.5679999738931656
2020-06-18,0.5540000051259995
2020-06-19,0.5540000200271606
2020-06-22,0.5639999955892563
2020-06-23,0.5689999908208847
2020-06-24,0.549000009894371
2020-06-25,0.5440000295639038
2020-06-26,0.5029999762773514
2020-06-29,0.5109999775886536
2020-06-30,0.517999991774559
2020-07-01,0.5519999861717224
2020-07-02,0.5360000282526016
2020-07-06,0.5560000091791153
2020-07-07,0.5099999755620956
2020-07-08,0.517999991774559
2020-07-09,0.4820000156760216
2020-07-10,0.5130000188946724
2020-07-13,0.5149999856948853
2020-07-14,0.482000008225441
2020-07-15,0.5049999952316284
2020-07-16,0.5089999884366989
2020-07-17,0.5230000242590904
2020-07-20,0.515000008046627
2020-07-21,0.49699999392032623
2020-07-22,0.4950000271201134
2020-07-23,0.4790000170469284
2020-07-24,0.4909999892115593
2020-07-27,0.5160000249743462
2020-07-28,0.4779999703168869
2020-07-29,0.48899999260902405
2020-07-30,0.4560000076889992
2020-07-31,0.4530000165104866
2020-08-03,0.48500002175569534
2020-08-04,0.42499998211860657
2020-08-05,0.4479999840259552
2020-08-06,0.4480000138282776
2020-08-07,0.4739999771118164
2020-08-10,0.4860000014305115
2020-08-11,0.5579999908804893
2020-08-12,0.5700000151991844
2020-08-13,0.6260000169277191
2020-08-14,0.6209999918937683
2020-08-17,0.5980000272393227
2020-08-18,0.5690000280737877
2020-08-19,0.5800000131130219
2020-08-20,0.5559999942779541
2020-08-21,0.5519999861717224
2020-08-24,0.5610000267624855
2020-08-25,0.5869999825954437
2020-08-26,0.5939999744296074
2020-08-27,0.6509999930858612
2020-08-28,0.6339999735355377
2020-08-31,0.5980000197887421
2020-09-01,0.5719999894499779
2020-09-02,0.5510000213980675
2020-09-03,0.5219999775290489
2020-09-04,0.6180000156164169
2020-09-08,0.5760000124573708
2020-09-09,0.5980000123381615
2020-09-10,0.5820000022649765
2020-09-11,0.5660000294446945
2020-09-14,0.5710000023245811
2020-09-15,0.5790000185370445
2020-09-16,0.5869999751448631
2020-09-17,0.5990000143647194
2020-09-18,0.6110000088810921
2020-09-21,0.5910000056028366
2020-09-22,0.5759999752044678
2020-09-23,0.5879999995231628
2020-09-24,0.573000006377697
2020-09-25,0.5689999759197235
2020-09-28,0.574999988079071
2020-09-29,0.559999980032444
2020-09-30,0.5919999852776527
2020-10-01,0.5939999893307686
2020-10-02,0.6109999790787697
2020-10-05,0.6770000234246254
2020-10-06,0.6539999842643738
2020-10-07,0.6970000267028809
2020-10-08,0.6769999861717224
2020-10-09,0.6819999739527702
2020-10-12,0.6870000064373016
2020-10-13,0.6339999958872795
2020-10-14,0.6220000013709068
2020-10-15,0.636000007390976
2020-10-16,0.6540000140666962
2020-10-19,0.6709999740123749
2020-10-20,0.7019999921321869
2020-10-21,0.7259999811649323
2020-10-22,0.76299998909235
2020-10-23,0.758000023663044
2020-10-26,0.721000000834465
2020-10-27,0.6879999935626984
2020-10-28,0.6910000145435333
2020-10-29,0.751999981701374
2020-10-30,0.7770000174641609
2020-11-02,0.7659999802708626
2020-11-03,0.792000025510788
2020-11-04,0.6850000098347664
2020-11-05,0.6910000219941139
2020-11-06,0.7369999960064888
2020-11-09,0.8700000047683716
2020-11-10,0.8819999992847443
2020-11-11,0.8680000007152557
2020-11-12,0.7999999895691872
2020-11-13,0.8100000098347664
2020-11-16,0.8310000151395798
2020-11-17,0.7919999808073044
2020-11-18,0.8070000261068344
2020-11-19,0.7939999736845493
2020-11-20,0.7709999978542328
2020-11-23,0.7869999930262566
2020-11-24,0.802000030875206
2020-11-25,0.7980000227689743
2020-11-27,0.7690000087022781
2020-11-30,0.7689999788999557
2020-12-01,0.8540000170469284
2020-12-02,0.8730000108480453
2020-12-03,0.8450000137090683
2020-12-04,0.8939999788999557
2020-12-07,0.8579999729990959
2020-12-08,0.8449999839067459
2020-12-09,0.8709999844431877
2020-12-10,0.8379999920725822
2020-12-11,0.828000009059906
2020-12-14,0.832000020891428
2020-12-15,0.8529999777674675
2020-12-16,0.8450000137090683
2020-12-17,0.8500000089406967
2020-12-18,0.8680000156164169
2020-12-21,0.8629999831318855
2020-12-22,0.8399999812245369
2020-12-23,0.8799999803304672
2020-12-24,0.8529999703168869
2020-12-28,0.8530000299215317
2020-12-29,0.8449999988079071
2020-12-30,0.8559999987483025
