date,vix_near,vix_far
2023-08-10,11.178270325246281,11.050324173421583
2023-08-11,11.292180369418745,11.093022017452682
2023-08-14,11.528120246279164,11.17547456132062
2023-08-16,11.72874686899975,11.262249611604283
2023-08-17,11.899164503039222,11.351135989741909
2023-08-18,11.979443116467067,11.422850930976532
2023-08-21,11.972962090360369,11.471682667992027
2023-08-22,11.89864139357358,11.496984243629116
2023-08-23,11.84242744312783,11.518167452593408
2023-08-24,11.7949515651736,11.534697666836292
2023-08-25,11.889967684684418,11.584270599278998
2023-08-28,12.059978329299703,11.658427782847294
2023-08-29,12.116652066945246,11.71038885188266
2023-08-30,12.011101441541786,11.718535337232861
2023-08-31,12.027401100900091,11.749577617449575
2023-09-01,11.808267362453089,11.715070550914076
2023-09-04,11.525511587684385,11.646427777026156
2023-09-05,11.290340956730997,11.571297951371434
2023-09-06,11.086894072879259,11.490270892626375
2023-09-07,11.0145960104392,11.43388261925662
2023-09-08,10.936397251283198,11.374438720503399
2023-09-11,11.074264961345374,11.372217053318519
2023-09-12,11.279509834358016,11.401106373960772
2023-09-13,11.463006530807363,11.440096696664888
2023-09-14,11.415337585479648,11.429178787406645
2023-09-15,11.243558263163191,11.381071590236067
2023-09-18,11.109038892971425,11.331883277722596
2023-09-20,11.11602596679459,11.313530262878809
2023-09-21,11.017350542804467,11.268663847601118
2023-09-22,10.898233644340348,11.213330756674845
2023-09-25,10.898822302403655,11.18484610775261
2023-09-26,10.995881395063538,11.185314605264491
2023-09-27,11.19392098090499,11.222104200475709
2023-09-28,11.735947218878067,11.367367427234663
2023-09-29,11.640631415673758,11.374879461964706
2023-10-03,11.690420931066848,11.41261768922728
2023-10-04,11.680280569848602,11.43510697633499
2023-10-05,11.433520240026835,11.390097213066655
2023-10-06,11.055680223596179,11.290997483763764
2023-10-09,11.170453355240877,11.300906768742538
2023-10-10,11.203635722748476,11.298097104108095
2023-10-11,11.132423738871706,11.270088255654464
2023-10-12,10.9616157877675,11.210989312918521
2023-10-13,10.847743820364695,11.15726300134039
2023-10-16,10.921829111851205,11.149329973475282
2023-10-17,10.847886010989182,11.108481776728906
2023-10-18,10.88859076300239,11.095892548574353
2023-10-19,10.892393714845017,11.078084100388528
2023-10-20,10.868262374838086,11.054621881700864
2023-10-23,10.882174865696093,11.041474424038249
2023-10-25,11.024783383669629,11.065885878181744
2023-10-26,11.259855436525196,11.126259847641252
2023-10-27,11.143236906820835,11.106599847620421
2023-10-30,11.258824528253278,11.141454386120216
2023-10-31,11.449216326737538,11.204049434991656
2023-11-01,11.649477614736647,11.280954049150129
2023-11-02,11.459651717726452,11.262685492291576
2023-11-03,11.266434516631275,11.22789591248697
2023-11-06,11.214289563313265,11.217178071049721
2023-11-07,11.20619290233661,11.214707299170955
2023-11-08,11.15079525550875,11.198824813960234
2023-11-09,11.093863351084611,11.17893160743988
2023-11-10,11.09924211961549,11.172665066461457
2023-11-13,11.129494606538094,11.174240931363443
2023-11-15,11.132996518799647,11.17112815063247
2023-11-16,11.305330885376524,11.214661920441362
2023-11-17,11.480220564819703,11.27060173891997
2023-11-20,11.703480249389894,11.350547000702724
2023-11-21,11.878986680338706,11.430497231751232
2023-11-22,11.875991082078832,11.470452018461037
2023-11-23,11.69066061966063,11.456774534494054
2023-11-24,11.570440387675772,11.445249569876964
2023-11-28,11.773627026842442,11.512045091267765
2023-11-29,12.085751363943952,11.6209500864386
2023-11-30,12.287167436090403,11.718136404069936
2023-12-01,12.318111662207242,11.77830583228548
2023-12-04,12.54207436517755,11.888459826724812
2023-12-05,12.848049589500691,12.03132711867228
2023-12-06,13.145366316706516,12.18666099616736
2023-12-07,12.98691090323566,12.230600912542503
2023-12-08,12.814607357833378,12.252364490223076
2023-12-11,12.796404981516197,12.29851319373751
2023-12-12,12.767603333726457,12.335921088683826
2023-12-13,12.535068787425711,12.31174641651477
2023-12-14,12.463379089891882,12.312496714542903
2023-12-15,12.685586098074895,12.386815205442723
2023-12-18,13.090390604893354,12.524377424814316
2023-12-19,13.350260365115265,12.646706739427477
2023-12-20,13.71684017983189,12.810642473049082
2023-12-21,13.731226862848539,12.896947723579332
2023-12-22,13.724151254614686,12.970861570358208
2023-12-26,14.042767604801718,13.126237818977987
2023-12-27,14.548511876406714,13.347488964490598
2023-12-28,14.745674698712062,13.51044454438443
2023-12-29,14.663783132474709,13.600404131258573
2024-01-02,14.635855396218492,13.689458294208343
2024-01-03,14.457237057968905,13.726780302141195
2024-01-04,14.081491346547956,13.690709358647092
2024-01-05,13.597660935845612,13.594281245537442
2024-01-08,13.551773969946067,13.582073863047398
2024-01-09,13.454516056257992,13.55279444175962
2024-01-10,13.293010793181598,13.499813153147727
2024-01-11,13.118674014708956,13.433466544476449
2024-01-12,13.11244947029588,13.403151438748566
2024-01-15,13.338299634148264,13.438319486303516
2024-01-16,13.415532987706918,13.450290414350853
2024-01-17,13.97035529970663,13.598445824292234
2024-01-18,14.003570098079162,13.64131435797696
2024-01-19,13.962380103533082,13.663013063110046
2024-01-23,14.258253529511965,13.770921001142744
2024-01-24,14.298835724488285,13.826291829624395
2024-01-25,14.15589044484522,13.830265289254822
2024-01-29,14.663927064955407,13.99842301797491
2024-01-30,15.142618170460182,14.189475505565348
2024-01-31,15.445078525993637,14.358614026610365
2024-02-01,15.116719030044749,14.367830936750057
2024-02-02,14.977812623118211,14.3980281069787
2024-02-05,15.191875043931836,14.509116450486008
2024-02-06,15.391250016572235,14.625560406064828
2024-02-07,15.430833420675436,14.705964026320919
2024-02-08,15.563888921685644,14.808149107901384
2024-02-09,15.525925884212143,14.866499171661726
2024-02-12,15.703950411455557,14.974999198414512
2024-02-13,15.739300414175938,15.050908400341982
2024-02-14,15.639533469578394,15.086280325800283
2024-02-15,15.503022160464372,15.09934570911265
2024-02-16,15.408681529319185,15.110314305286845
2024-02-20,15.629120917820865,15.197558431608424
2024-02-21,15.729414046939171,15.264144056478184
2024-02-22,15.55294263438116,15.258312761276997
2024-02-23,15.358628511930377,15.232102534527161
2024-02-26,15.439085801776828,15.265547793340122
2024-02-27,15.536057048596664,15.307770679603413
2024-02-28,15.800704673633128,15.40070061088547
2024-02-29,15.72380301403016,15.416091436698084
2024-03-01,15.56253526639283,15.400083103463544
2024-03-04,15.348356869693202,15.35643919190267
2024-03-05,15.025571284609107,15.26767200304251
2024-03-06,14.783714253317694,15.179701838287269
2024-03-07,14.392476054437545,15.037001639959085
2024-03-11,14.261650702958363,14.942728763599169
2024-03-12,14.05443391641316,14.824298907210403
2024-03-13,14.179622712667367,14.788453579752709
2024-03-14,13.99308177029794,14.682230516644196
